,Name,/people/deceased_person/date_of_death,/people/person/gender,/people/person/age,/people/person/date_of_birth
96144,Raisa Romanovna Reisen,1956,Female,[],1888-01-01 00:00:00
96146,Tetsuro Mayuzumi,1993-07-21,Male,[],1936-07-02 00:00:00
96169,Vera Popova,1982-08-27,Female,[],1889-08-12 00:00:00
96174,Tadashi Yamanouchi,1980-12-20,Male,[],1927-08-22 00:00:00
96176,Ichiro Yamano,1958-12-18,Male,[],1899-12-15 00:00:00
96195,Poul Smyrner,1978-03-17,Male,[],1899-12-17 00:00:00
96207,Giorgio Capecchi,1978-08-29,Male,[],1902-08-07 00:00:00
96223,Marga Cella,1964-01-06,Female,[],1893-11-12 00:00:00
96231,Pino Locchi,1994-11-21,Male,[],1925-11-10 00:00:00
96241,Feofan Shipulinsky,1942-06-17,Male,[],1876-01-01 00:00:00
96242,Anatoli Goryunov,1956-07-10,Male,[],1902-12-17 00:00:00
96243,Mariya Strelkova,1962,Female,[],1908-01-01 00:00:00
96255,Vladimir Ballyuzek,1957-09-09,Male,[],1881-12-25 00:00:00
96257,Anatoli Arapov,1949-12-22,Male,[],1876-11-21 00:00:00
96258,Nello Segurini,1988-05-26,Male,[],1910-01-01 00:00:00
96259,Pyotr Yermolov,1953-03-19,Male,[],1887-09-26 00:00:00
96262,Vladimir Shvejtser,1971-02-27,Male,[],1889-02-25 00:00:00
96275,Ugo Moretti,1991-01-11,Male,[],1918-01-01 00:00:00
96298,Mary Leonore Moon,1978,Female,[],1914-01-01 00:00:00
96299,William Hebditych,1990,Male,[],1908-01-01 00:00:00
96306,Lillian Gallo,2012-06-06,Female,[],1928-04-12 00:00:00
96323,Ivan Novokshonov,1943-05-05,Male,[],1896-10-20 00:00:00
96380,Adolf Dresen,2001-07-11,Male,[],1935-03-31 00:00:00
